City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
469,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Saint George's
472,Staunton,US,76.68,overcast clouds,38.1496,-79.0717,Staunton
474,Tezonapa,MX,73.69,broken clouds,18.6092,-96.6917,Cosolapa
476,La Reforma,MX,89.15,clear sky,25.0833,-108.05,La Reforma
477,Pimenta Bueno,BR,74.39,scattered clouds,-11.6725,-61.1936,Pimenta Bueno
479,Pasni,PK,82.33,overcast clouds,25.2631,63.471,Pasni
480,Shache,CN,94.26,broken clouds,38.4167,77.2406,Kashgar Prefecture
482,Adrar,MR,83.95,overcast clouds,20.5022,-10.0711,
484,Athens,GR,83.8,clear sky,37.9795,23.7162,Athens
488,Nhulunbuy,AU,81.21,broken clouds,-12.2333,136.7667,Nhulunbuy
489,Buala,SB,83.55,light rain,-8.145,159.5921,Buala
492,Fort-Shevchenko,KZ,78.94,overcast clouds,44.5086,50.263,Fort-Shevchenko
495,Salinas,US,75.42,clear sky,36.6777,-121.6555,Salinas
498,Anqing,CN,83.62,overcast clouds,30.5092,117.0506,Anqing
503,Tyrma,RU,82.72,broken clouds,50.0833,132.1667,Kazarma 180 Kilometr
504,Artyom,AZ,77.14,broken clouds,40.4723,50.333,Pirallahi
507,Sinnamary,GF,77.23,clear sky,5.3833,-52.95,Sinnamary
508,Orlik,RU,70.88,light rain,52.5178,99.825,Orlik
509,Pacific Grove,US,71.15,scattered clouds,36.6177,-121.9166,Monterey
511,Araouane,ML,90.77,scattered clouds,18.9048,-3.5265,Araouane
513,Atambua,ID,85.89,broken clouds,-9.1061,124.8925,Atambua
514,Murgab,TM,76.87,clear sky,37.4966,61.9714,Mary
515,Mandan,US,83.41,scattered clouds,46.8267,-100.8896,Bismarck
519,Ranong,TH,84.13,light rain,9.9658,98.6348,Bang Rin
521,Labelle,US,82.98,overcast clouds,26.7617,-81.4384,LaBelle
524,Vanavara,RU,88.99,clear sky,60.34,102.2797,Vanavara
525,Orbetello,IT,73.8,few clouds,42.4408,11.2196,Orbetello
526,Kawalu,ID,79.39,broken clouds,-7.3817,108.2082,Tasikmalaya
528,Puerto Baquerizo Moreno,EC,71.29,clear sky,-0.9,-89.6,Puerto Baquerizo Moreno
530,Nueva Rosita,MX,86.22,overcast clouds,27.95,-101.2167,Nueva Rosita
531,Jimenez,MX,86.74,scattered clouds,28.3333,-105.4,Arenillas
532,Karaton,ID,84.36,scattered clouds,-6.3424,106.1045,Pandeglang
533,Along,IN,92.41,broken clouds,28.1667,94.7667,Nyingchi
534,Boffa,GN,75.49,light rain,10.1667,-14.0333,Boffa
535,Kurmanayevka,RU,70.45,scattered clouds,52.5093,52.0675,Kurmanayevka
538,Aloleng,PH,83.75,light rain,16.1307,119.7824,Agno
539,Axim,GH,75.96,overcast clouds,4.8699,-2.2405,Axim
540,Kununurra,AU,91.38,few clouds,-15.7667,128.7333,Kununurra
544,Yazman,PK,90.82,overcast clouds,29.1212,71.7446,Yazman Mandi
546,San Ramon,US,85.66,clear sky,37.7799,-121.978,San Ramon
548,Ojiya,JP,83.39,scattered clouds,37.3,138.8,Nagaoka
549,Diffa,NE,75.18,overcast clouds,13.3154,12.6113,Diffa
550,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Fergana
551,Bhatkal,IN,80.11,overcast clouds,13.9667,74.5667,Bhatkal
552,Eyl,SO,79.68,overcast clouds,7.9803,49.8164,Eyl
553,Sao Jose Da Coroa Grande,BR,73.67,clear sky,-8.8978,-35.1478,São José da Coroa Grande
554,Naze,JP,83.32,broken clouds,28.3667,129.4833,Amami
555,Mitsamiouli,KM,75.54,clear sky,-11.3847,43.2844,Mitsamiouli
556,Marrakesh,MA,73.47,clear sky,31.6315,-8.0083,Marrakesh
557,Santa Ana,US,87.98,few clouds,33.7456,-117.8678,Santa Ana
559,Shizunai,JP,79.9,broken clouds,42.3339,142.3669,Shinhidaka
567,Ukiah,US,87.69,clear sky,39.1502,-123.2078,Ukiah
568,Lashio,MM,73.47,overcast clouds,22.9333,97.75,Lashio
570,Villafranca De Los Barros,ES,70.83,clear sky,38.5614,-6.3381,Villafranca de los Barros
572,Nguru,NG,73.24,light rain,12.8791,10.4526,Nguru
573,Mandalgovi,MN,73.76,broken clouds,45.7625,106.2708,Mandalgovi
574,Makakilo City,US,86.32,scattered clouds,21.3469,-158.0858,Kapolei
575,Byron Bay,AU,75.16,clear sky,-28.65,153.6167,Byron Bay
577,Buluang,PH,87.08,light rain,13.3068,123.3425,Libon
578,Netanya,IL,78.82,clear sky,32.3329,34.8599,Netanya
581,Pangkalanbuun,ID,86.2,overcast clouds,-2.6833,111.6167,Pangkalan Bun
582,Ambulu,ID,84.88,few clouds,-8.345,113.6058,Sabrang
586,Davila,PH,83.86,heavy intensity rain,18.4726,120.5763,Pasuquin
587,Charlestown,AU,76.78,scattered clouds,-32.95,151.6667,Newcastle
588,Laguna,US,91.24,clear sky,38.421,-121.4238,Sacramento
589,Mauguio,FR,73.29,light rain,43.6181,4.0074,Mauguio
592,Bubaque,GW,79.83,light rain,11.2833,-15.8333,Bubaque
593,Tubuala,PA,78.33,overcast clouds,9.5167,-79.0333,Tubualá
594,Harper,LR,76.23,overcast clouds,4.375,-7.7169,Harper
595,Buchanan,LR,76.01,overcast clouds,5.8808,-10.0467,Buchanan
596,Vieste,IT,77.5,broken clouds,41.8825,16.175,Vieste
599,Shasta Lake,US,77.74,overcast clouds,40.6804,-122.3708,Redding
600,Kilindoni,TZ,74.46,light rain,-7.9139,39.6668,Kilindoni
602,Kolda,SN,80.91,overcast clouds,12.8833,-14.95,Kolda
604,Gaoual,GN,74.44,light rain,11.75,-13.2,Gaoual
612,Nong Chik,TH,88.92,broken clouds,6.8436,101.178,Rusamilae
613,Teahupoo,PF,73.36,broken clouds,-17.8333,-149.2667,Teahupo'o
614,Port Hedland,AU,82.45,scattered clouds,-20.3167,118.5667,Port Hedland
615,Merauke,ID,81.95,overcast clouds,-8.4667,140.3333,Urum
616,Garowe,SO,73.63,overcast clouds,8.4054,48.4845,Garowe
619,Kavaratti,IN,81.59,overcast clouds,10.5669,72.642,Kavaratti
620,Cinisi,IT,80.85,clear sky,38.1562,13.1073,Carini
621,Matay,EG,76.93,clear sky,28.419,30.7792,Matay
622,Berdigestyakh,RU,75.49,scattered clouds,62.0989,126.6992,Berdigestyakh
624,Trofors,NO,70.95,broken clouds,65.5333,13.4063,Trofors
625,Hervey Bay,AU,73.51,overcast clouds,-25.2986,152.8535,Hervey Bay
626,Umm Lajj,SA,86.85,broken clouds,25.0213,37.2685,Umluj
627,Tongchuan,CN,79.02,overcast clouds,35.0806,109.0897,Tongchuan
628,Maceio,BR,72.84,few clouds,-9.6658,-35.7353,Maceió
630,Sira,IN,77.27,overcast clouds,13.7453,76.9092,Sira
631,Riverton,US,87.04,clear sky,40.5219,-111.9391,Sandy
632,Kalamb,IN,75.83,overcast clouds,19.05,73.95,Narayangaon
633,Xuddur,SO,70.7,overcast clouds,4.1213,43.8894,Xuddur
638,Wilmington,US,82.31,clear sky,34.2257,-77.9447,Wilmington
639,Barguzin,RU,77.72,scattered clouds,53.6167,109.6167,Barguzin
640,Basoko,CD,73.92,overcast clouds,1.2391,23.616,Basoko
641,The Valley,AI,82.26,clear sky,18.217,-63.0578,The Valley
643,Kyren,RU,76.03,few clouds,51.6828,102.1408,Kyren
644,Mundwa,IN,82.96,overcast clouds,27.0667,73.8167,Mundwa
646,Amarante Do Maranhao,BR,73.27,scattered clouds,-5.5667,-46.7422,Amarante do Maranhão
648,Nianzishan,CN,80.55,scattered clouds,47.5167,122.8833,Qiqihar
651,Luis Correia,BR,78.62,broken clouds,-2.8792,-41.6669,Parnaíba
653,Kismayo,SO,76.55,overcast clouds,-0.3582,42.5454,Kismayo
654,Dorado,PR,81.1,broken clouds,18.4588,-66.2677,Dorado
655,Praia Da Vitoria,PT,72.75,broken clouds,38.7333,-27.0667,Praia da Vitória
661,Pierre,US,92.86,clear sky,44.3683,-100.351,Pierre
662,Madang,PG,84.99,broken clouds,-5.2246,145.7966,Madang
664,Fairhope,US,83.95,broken clouds,30.523,-87.9033,Fairhope
665,Celestun,MX,80.49,scattered clouds,20.8667,-90.4,Celestún
666,Mareeba,AU,80.44,clear sky,-17.0,145.4333,Mareeba
669,Nelson Bay,AU,78.76,broken clouds,-32.7167,152.15,Nelson Bay - Corlette
671,Ibra,OM,91.08,overcast clouds,22.6906,58.5334,Ibra
672,Novoilinsk,RU,78.8,few clouds,51.6829,108.7143,Novoil'insk
676,San Policarpo,PH,92.03,overcast clouds,12.1791,125.5072,Oras
679,Ixtapa,MX,77.23,broken clouds,20.7,-105.2,Puerto Vallarta
680,Galveston,US,84.96,scattered clouds,29.3669,-94.9669,Texas City
681,Yenagoa,NG,71.89,overcast clouds,4.9247,6.2642,Yenagoa
682,Kirakira,SB,84.29,scattered clouds,-10.4544,161.9205,Arohane
683,Manggar,ID,84.88,overcast clouds,-2.8833,108.2667,Manggar
684,Sorong,ID,86.23,light rain,-0.8833,131.25,Sorong
687,Sibolga,ID,85.51,broken clouds,1.7427,98.7792,Sibolga
688,Rongcheng,CN,86.07,overcast clouds,30.634,117.8517,Chizhou
689,Hobyo,SO,76.75,overcast clouds,5.3505,48.5268,Hobyo
691,Joshimath,IN,78.08,moderate rain,30.5667,79.5667,Joshimath
695,Port Blair,IN,82.87,overcast clouds,11.6667,92.75,Port Blair
697,Bam,IR,86.61,overcast clouds,29.106,58.357,Bam
698,Namtsy,RU,75.31,clear sky,62.7161,129.6658,Namtsy
