City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bambous Virieux,MU,2021-07-27 02:40:38,-20.3428,57.7575,68.25,88,75,10.36
68,Thompson,CA,2021-07-27 02:36:51,55.7435,-97.8558,66.36,48,20,3.44
69,Yicheng,CN,2021-07-27 02:40:38,31.3705,119.8703,79.41,93,100,14.32
70,Miyako,JP,2021-07-27 02:40:39,39.6367,141.9525,70.05,96,100,8.48
71,Brae,GB,2021-07-27 02:40:39,60.3964,-1.353,55.31,98,100,10.85
72,Badarpur,IN,2021-07-27 02:40:39,24.9,92.6,84.9,86,78,0.83
73,Flin Flon,CA,2021-07-27 02:40:40,54.7682,-101.865,62.87,51,26,2.53
74,Albany,US,2021-07-27 02:40:09,42.6001,-73.9662,70.41,81,0,4.12
75,Luderitz,NA,2021-07-27 02:36:11,-26.6481,15.1594,58.91,67,0,6.8
76,Vikulovo,RU,2021-07-27 02:40:40,56.8167,70.6107,60.19,59,98,6.82
77,Hefei,CN,2021-07-27 02:40:41,31.8639,117.2808,80.62,94,90,15.66
78,Port Alfred,ZA,2021-07-27 02:40:41,-33.5906,26.891,61.45,31,30,11.21
79,Kodiak,US,2021-07-27 02:37:34,57.79,-152.4072,62.11,59,75,4.61
80,Barrow,US,2021-07-27 02:40:42,71.2906,-156.7887,48.22,93,90,8.05
81,Pangody,RU,2021-07-27 02:40:42,65.85,74.4859,55.0,60,100,12.5
82,Yerbogachen,RU,2021-07-27 02:40:43,61.2767,108.0108,85.05,38,4,8.16
83,Mareeba,AU,2021-07-27 02:40:43,-17.0,145.4333,77.32,68,70,5.91
84,Kharan,PK,2021-07-27 02:40:43,28.5833,65.4167,92.97,31,100,5.75
85,Nizhniy Kuranakh,RU,2021-07-27 02:40:44,58.8353,125.4869,78.71,54,23,3.74
86,Port Elizabeth,ZA,2021-07-27 02:40:44,-33.918,25.5701,70.11,31,0,9.22
87,Aviles,ES,2021-07-27 02:40:44,43.5547,-5.9248,67.39,72,75,6.91
88,Aklavik,CA,2021-07-27 02:40:45,68.2191,-135.0107,61.52,84,100,3.4
89,Poum,NC,2021-07-27 02:40:45,-20.2333,164.0167,71.92,64,49,8.52
90,Port Macquarie,AU,2021-07-27 02:40:12,-31.4333,152.9167,68.9,47,1,8.37
91,Kavieng,PG,2021-07-27 02:40:46,-2.5744,150.7967,85.12,65,43,4.32
92,Georgetown,MY,2021-07-27 02:39:09,5.4112,100.3354,85.98,80,40,1.99
93,Majene,ID,2021-07-27 02:40:47,-3.5403,118.9707,83.77,63,70,12.59
94,Borogontsy,RU,2021-07-27 02:40:47,62.6683,131.1683,82.56,42,41,6.64
95,Chuy,UY,2021-07-27 02:35:48,-33.6971,-53.4616,45.37,85,0,7.83
96,Gornopravdinsk,RU,2021-07-27 02:40:48,60.05,69.9,62.4,58,41,6.93
97,Severo-Kurilsk,RU,2021-07-27 02:40:48,50.6789,156.125,61.56,87,78,9.8
